timestamp,event,key_type
2026-08-10T09:31:46.803,release,character
2026-08-10T09:31:46.964,press,character
2026-08-10T09:31:47.011,release,character
2026-08-10T09:31:47.133,press,special
2026-08-10T09:31:47.190,release,special
2026-08-10T09:31:47.362,press,character
2026-08-10T09:31:47.472,release,character
2026-08-10T09:31:47.905,press,character
2026-08-10T09:31:47.980,release,character
2026-08-10T09:31:48.094,press,special
2026-08-10T09:31:48.168,release,special
2026-08-10T09:31:48.390,press,character
2026-08-10T09:31:48.465,release,character
2026-08-10T09:31:48.600,press,character
2026-08-10T09:31:48.706,release,character
2026-08-10T09:31:48.798,press,character
2026-08-10T09:31:48.926,press,special
2026-08-10T09:31:48.932,release,character
2026-08-10T09:31:48.992,release,special
2026-08-10T09:31:49.457,press,character
2026-08-10T09:31:49.601,release,character
2026-08-10T09:31:50.740,press,special
2026-08-10T09:31:50.806,release,special
2026-08-10T09:31:51.201,press,character
2026-08-10T09:31:51.326,release,character
2026-08-10T09:31:51.350,press,character
2026-08-10T09:31:51.413,release,character
2026-08-10T09:31:51.564,press,special
2026-08-10T09:31:51.637,release,special
2026-08-10T09:31:52.288,press,character
2026-08-10T09:31:52.425,release,character
2026-08-10T09:31:52.430,press,character
2026-08-10T09:31:52.523,release,character
2026-08-10T09:31:52.637,press,character
2026-08-10T09:31:52.704,release,character
2026-08-10T09:31:52.809,press,character
2026-08-10T09:31:52.916,release,character
2026-08-10T09:31:53.350,press,special
2026-08-10T09:31:53.400,release,special
2026-08-10T09:31:53.538,press,special
2026-08-10T09:31:53.588,release,special
2026-08-10T09:31:54.209,press,character
2026-08-10T09:31:54.293,release,character
2026-08-10T09:31:54.338,press,character
2026-08-10T09:31:54.426,release,character
2026-08-10T09:31:54.454,press,special
2026-08-10T09:31:54.545,release,special
2026-08-10T09:31:54.848,press,character
2026-08-10T09:31:54.927,release,character
2026-08-10T09:31:54.987,press,character
2026-08-10T09:31:55.099,release,character
2026-08-10T09:31:55.107,press,special
2026-08-10T09:31:55.198,release,special
2026-08-10T09:31:55.394,press,character
2026-08-10T09:31:55.468,release,character
2026-08-10T09:31:55.623,press,character
2026-08-10T09:31:55.719,release,character
2026-08-10T09:31:55.750,press,character
2026-08-10T09:31:55.846,release,character
2026-08-10T09:31:55.872,press,special
2026-08-10T09:31:55.957,release,special
2026-08-10T09:31:56.146,press,character
2026-08-10T09:31:56.210,release,character
2026-08-10T09:31:56.261,press,character
2026-08-10T09:31:56.349,release,character
2026-08-10T09:31:56.557,press,character
2026-08-10T09:31:56.696,press,character
2026-08-10T09:31:56.706,release,character
2026-08-10T09:31:56.775,release,character
2026-08-10T09:31:56.859,press,special
2026-08-10T09:31:56.940,release,special
2026-08-10T09:31:57.026,press,character
2026-08-10T09:31:57.131,release,character
2026-08-10T09:31:58.246,press,special
2026-08-10T09:31:58.307,release,special
2026-08-10T09:31:58.538,press,character
2026-08-10T09:31:58.655,release,character
2026-08-10T09:31:58.679,press,character
2026-08-10T09:31:58.809,release,character
2026-08-10T09:31:58.997,press,character
2026-08-10T09:31:59.045,release,character
2026-08-10T09:31:59.079,press,character
2026-08-10T09:31:59.196,release,character
2026-08-10T09:31:59.264,press,special
2026-08-10T09:31:59.356,release,special
2026-08-10T09:32:00.914,press,character
2026-08-10T09:32:00.993,press,character
2026-08-10T09:32:01.021,release,character
2026-08-10T09:32:01.113,release,character
2026-08-10T09:32:01.323,press,character
2026-08-10T09:32:01.400,release,character
2026-08-10T09:32:01.453,press,character
2026-08-10T09:32:01.562,press,special
2026-08-10T09:32:01.564,release,character
2026-08-10T09:32:01.650,release,special
2026-08-10T09:32:01.999,press,character
2026-08-10T09:32:02.141,release,character
2026-08-10T09:32:02.192,press,character
2026-08-10T09:32:02.318,release,character
2026-08-10T09:32:02.483,press,character
2026-08-10T09:32:02.562,release,character
2026-08-10T09:32:03.033,press,character
2026-08-10T09:32:03.179,release,character
2026-08-10T09:32:03.181,press,character
2026-08-10T09:32:03.294,release,character
2026-08-10T09:32:03.423,press,character
2026-08-10T09:32:03.527,release,character
2026-08-10T09:32:03.683,press,character
2026-08-10T09:32:03.771,release,character
2026-08-10T09:32:03.969,press,character
2026-08-10T09:32:04.094,release,character
2026-08-10T09:32:04.125,press,special
2026-08-10T09:32:04.199,release,special
2026-08-10T09:32:04.555,press,character
2026-08-10T09:32:04.672,release,character
2026-08-10T09:32:04.709,press,character
2026-08-10T09:32:04.817,release,character
2026-08-10T09:32:04.841,press,character
2026-08-10T09:32:04.977,release,character
2026-08-10T09:32:05.007,press,character
2026-08-10T09:32:05.075,release,character
2026-08-10T09:32:05.153,press,character
2026-08-10T09:32:05.225,release,character
2026-08-10T09:32:05.430,press,character
2026-08-10T09:32:05.535,release,character
2026-08-10T09:32:05.677,press,character
2026-08-10T09:32:05.777,release,character
2026-08-10T09:32:05.935,press,character
2026-08-10T09:32:06.060,release,character
2026-08-10T09:32:06.871,press,special
2026-08-10T09:32:06.973,release,special
2026-08-10T09:32:08.267,press,character
2026-08-10T09:32:08.401,release,character
2026-08-10T09:32:08.535,press,character
