key_id,press_time,release_time,hold_time_ms
2e08c4195ea03bb30885ed831a0fce02d00fbda2cc68ebe89562689cc6571e40,20329.172,20483.183,154.01100000000224
7769ac8a12582e8ad3ccd6c8b7d5c7ab300644cefd2da3d1cda77fc5fce80812,20463.045,20543.149,80.104000000003
ae0fffa7bf37d5b9d993c3faf11e11373dbee70857570277f4d8e786c4a01b9c,20618.812,20696.893,78.08099999999831
926b0b1a9b53764f7593878fa3ee85f1375d82ee8e3840c567c004d7698b4485,21123.105,21255.181,132.07600000000093
5761acac657b955fbed518b8d1814e64ac36e86435d4068599dd23746b80d699,21275.034,21389.319,114.28499999999985
c70344094ea28ac4b815b31e0071fc673cade1686a3426dc2cd7003f829bc6a4,21481.432,21597.183,115.7510000000002
926b0b1a9b53764f7593878fa3ee85f1375d82ee8e3840c567c004d7698b4485,21815.604,21965.107,149.5030000000006
ae2faa8f7b0ce4378083c8c430cfa37375e90b606533102a4d1ae59a0ace5ab8,22377.211,22473.46,96.2489999999998
ae0fffa7bf37d5b9d993c3faf11e11373dbee70857570277f4d8e786c4a01b9c,22537.258,22652.848,115.59000000000015
2014880db646d4162ebc36eb5855c9107983238de62481f26bb5a0942fdfdc4c,23573.097,23695.06,121.96299999999974
ac19dc77757b532079d1735b8566fb60ac96ee03c27c5fe4366b752a46e8b051,24007.297,24097.135,89.83799999999974
b8330213047c7e85d79510cb4d7d9dc4defbcf487bbfb227bc96a2a53af45572,24199.071,24321.166,122.09500000000116
ae0fffa7bf37d5b9d993c3faf11e11373dbee70857570277f4d8e786c4a01b9c,24332.921,24429.452,96.53100000000268
f55367215c1bc555ff5d40216228137afd74b7aac9f0134903e15529427c1127,25135.043,25219.104,84.06099999999788
c70344094ea28ac4b815b31e0071fc673cade1686a3426dc2cd7003f829bc6a4,25531.134,25627.225,96.09100000000035
e689fc9b2942276fb653d27385001e4137af8466fa7959fd89910d4b14af84ff,25745.253,25863.664,118.41100000000006
ae0fffa7bf37d5b9d993c3faf11e11373dbee70857570277f4d8e786c4a01b9c,25865.136,25967.288,102.15200000000186
a06f32066f95bf217db96bef0b03557ed5dbb1c8dafb669dd0b8e06e312387b1,26607.991,26713.236,105.24499999999898
29b324292d73b28a958a4686711b38ccabe75160382c10dc5ded58fa1ee78eea,27011.942,27129.171,117.22899999999936
a6f06fde7d842e34a637175d250e758537a9959c30d79714f634eeb938ad555f,27449.547,27577.217,127.67000000000189
1c38485e295dfe971f373a477c4f4e51d5bf5099ae0cb20d13da43c410cab47c,27625.652,27771.387,145.73500000000058
7769ac8a12582e8ad3ccd6c8b7d5c7ab300644cefd2da3d1cda77fc5fce80812,27789.145,27885.307,96.16200000000026
c70344094ea28ac4b815b31e0071fc673cade1686a3426dc2cd7003f829bc6a4,27963.68,28075.28,111.59999999999854
